indicator_code,indicator_label,spatial_level,region_or_country,year,numeric_value,value,ci_low,ci_high,disagg_dim1,disagg_dim1_code,source_file,TimeDimensionBegin,TimeDimensionEnd,Region name,Category
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2017,54.54545,55,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2017,12/31/2017,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2018,27.27273,27,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2018,12/31/2018,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2018,27.27273,27,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2018,12/31/2018,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2018,9.09091,9,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2018,12/31/2018,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2018,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2018,12/31/2018,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2018,36.36364,36,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2018,12/31/2018,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2019,36.36364,36,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2019,12/31/2019,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2019,31.81818,32,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2019,12/31/2019,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2019,4.54545,5,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2019,12/31/2019,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2019,4.54545,5,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2019,12/31/2019,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2019,22.72727,23,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2019,12/31/2019,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2020,50,50,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2020,12/31/2020,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2020,18.18182,18,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2020,12/31/2020,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2020,4.54545,5,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2020,12/31/2020,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2020,18.18182,18,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2020,12/31/2020,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2020,9.09091,9,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2020,12/31/2020,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2017,24.07407,24,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2017,12/31/2017,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2017,3.7037,4,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2017,12/31/2017,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2017,3.7037,4,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2017,12/31/2017,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2017,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2017,12/31/2017,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2017,68.51852,69,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2017,12/31/2017,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2018,33.33333,33,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2018,12/31/2018,Europe,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EUR,2018,3.7037,4,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2018,12/31/2018,Europe,Coordination
